61,211,14,2021-03-14 19:59:32,2021-03-14 19:59:32
81,211,2,2021-03-14 20:16:30,2021-03-14 20:16:30
131,211,3,2021-03-17 11:22:31,2021-03-17 11:22:31
151,211,6,2021-03-17 12:47:57,2021-03-17 12:47:57
161,431,1,2021-04-08 17:26:20,2021-04-08 17:26:20
162,431,5,2021-04-08 17:26:26,2021-04-08 17:26:26
163,361,13,2021-04-08 18:49:05,2021-04-08 18:49:05
164,361,15,2021-04-08 18:49:12,2021-04-08 18:49:12
166,381,4,2021-04-09 10:20:17,2021-04-09 10:20:17
167,381,14,2021-04-09 10:20:24,2021-04-09 10:20:24
168,381,6,2021-04-09 10:20:31,2021-04-09 10:20:31
169,381,5,2021-04-09 10:20:38,2021-04-09 10:20:38
170,391,2,2021-04-09 10:22:13,2021-04-09 10:22:13
171,391,5,2021-04-09 10:22:20,2021-04-09 10:22:20
172,391,6,2021-04-09 10:22:29,2021-04-09 10:22:29
173,391,12,2021-04-09 10:22:43,2021-04-09 10:22:43
174,391,17,2021-04-09 10:22:46,2021-04-09 10:22:46
175,401,4,2021-04-09 10:25:36,2021-04-09 10:25:36
176,401,1,2021-04-09 10:25:46,2021-04-09 10:25:46
177,401,6,2021-04-09 10:25:51,2021-04-09 10:25:51
178,401,5,2021-04-09 10:25:59,2021-04-09 10:25:59
179,401,17,2021-04-09 10:26:29,2021-04-09 10:26:29
180,401,12,2021-04-09 10:26:30,2021-04-09 10:26:30
181,401,13,2021-04-09 10:26:52,2021-04-09 10:26:52
182,411,15,2021-04-09 10:29:13,2021-04-09 10:29:13
183,411,6,2021-04-09 10:29:15,2021-04-09 10:29:15
184,411,4,2021-04-09 10:29:22,2021-04-09 10:29:22
185,421,6,2021-04-09 10:33:40,2021-04-09 10:33:40
186,421,1,2021-04-09 10:33:45,2021-04-09 10:33:45
187,421,17,2021-04-09 10:33:58,2021-04-09 10:33:58
188,421,12,2021-04-09 10:33:59,2021-04-09 10:33:59
189,421,13,2021-04-09 10:34:00,2021-04-09 10:34:00
190,441,2,2021-04-09 10:39:16,2021-04-09 10:39:16
191,441,4,2021-04-09 10:39:23,2021-04-09 10:39:23
192,441,14,2021-04-09 10:39:30,2021-04-09 10:39:30
193,441,5,2021-04-09 10:39:44,2021-04-09 10:39:44
194,441,13,2021-04-09 10:39:59,2021-04-09 10:39:59
195,441,12,2021-04-09 10:40:18,2021-04-09 10:40:18
196,441,17,2021-04-09 10:40:19,2021-04-09 10:40:19
197,451,1,2021-04-09 10:41:15,2021-04-09 10:41:15
198,451,6,2021-04-09 10:41:17,2021-04-09 10:41:17
199,451,11,2021-04-09 10:41:19,2021-04-09 10:41:19
200,451,5,2021-04-09 10:41:26,2021-04-09 10:41:26
201,451,12,2021-04-09 10:41:38,2021-04-09 10:41:38
202,451,17,2021-04-09 10:41:40,2021-04-09 10:41:40
203,462,5,2021-04-09 10:55:30,2021-04-09 10:55:30
204,462,2,2021-04-09 10:55:33,2021-04-09 10:55:33
205,462,1,2021-04-09 10:55:35,2021-04-09 10:55:35
206,462,6,2021-04-09 10:55:36,2021-04-09 10:55:36
207,462,4,2021-04-09 10:55:37,2021-04-09 10:55:37
208,462,15,2021-04-09 10:55:39,2021-04-09 10:55:39
209,462,13,2021-04-09 10:55:46,2021-04-09 10:55:46
210,462,12,2021-04-09 10:55:47,2021-04-09 10:55:47
211,462,17,2021-04-09 10:55:49,2021-04-09 10:55:49
212,462,8,2021-04-09 10:56:02,2021-04-09 10:56:02
213,461,5,2021-04-09 10:57:53,2021-04-09 10:57:53
214,461,6,2021-04-09 10:57:54,2021-04-09 10:57:54
215,461,1,2021-04-09 10:57:55,2021-04-09 10:57:55
216,461,4,2021-04-09 10:58:00,2021-04-09 10:58:00
217,461,14,2021-04-09 10:58:06,2021-04-09 10:58:06
218,463,5,2021-04-09 11:04:49,2021-04-09 11:04:49
219,463,1,2021-04-09 11:04:55,2021-04-09 11:04:55
220,463,6,2021-04-09 11:05:05,2021-04-09 11:05:05
221,371,14,2021-04-09 11:08:10,2021-04-09 11:08:10
222,371,5,2021-04-09 11:08:18,2021-04-09 11:08:18
223,371,6,2021-04-09 11:08:23,2021-04-09 11:08:23
224,371,1,2021-04-09 11:08:24,2021-04-09 11:08:24
225,371,13,2021-04-09 11:08:59,2021-04-09 11:08:59
226,371,12,2021-04-09 11:09:01,2021-04-09 11:09:01
227,371,17,2021-04-09 11:09:02,2021-04-09 11:09:02
1,361,17,2021-08-03 11:11:43,2021-08-03 11:11:43
